enterprise_value,signing_date,industry_sector,client_name,target_inc_country,percentage_to_be_sold
13000,2023-01-01,retail,Bell Ltd,CPV,80
14000,2022-10-11,creative,Carleton GmbH,NFK,18
152000,2026-04-01,manufacturing,Cash Ltd,HMD,58
167000,2022-07-07,creative,Bray International,MYS,48
120000,2023-01-01,manufacturing,Frost Ltd,VIR,3
68000,2026-04-01,finance,Gonzalez International,MRT,49
114000,2022-07-07,infrastructure,Howell International,MRT,6
170000,2022-07-07,manufacturing,Seidt GmbH,GAB,34
53000,2022-07-07,finance,Petrie PLC,CRI,18
87000,2021-12-31,finance,Torres International,SLE,54
156000,2023-01-01,manufacturing,Pagan Ltd,GIB,7
104000,2021-12-31,retail,Garcia International,COL,69
168000,2023-01-01,infrastructure,Menter PLC,TUV,27
157000,2026-04-01,finance,Pickelsimer Inc,ISL,56
163000,2022-07-07,creative,Hines Ltd,QAT,94
117000,2023-01-01,finance,Calderon SA,VUT,7
23000,2023-01-01,manufacturing,Longnecker Inc,MLI,80
124000,2022-10-11,retail,Pena International,MNP,80
8000,2023-01-01,finance,Mueller SA,MLI,96
182000,2021-12-31,infrastructure,Martinez GmbH,FRO,47
129000,2022-10-11,manufacturing,Pacheco GmbH,ATG,50
168000,2021-12-31,retail,Locke GmbH,COG,65
182000,2023-01-01,infrastructure,Neally PLC,HKG,73
20000,2026-04-01,manufacturing,Small Inc,NCL,90
168000,2022-10-11,infrastructure,Horrell International,BTN,91
60000,2021-12-31,retail,Hernandez Inc,GUY,77
100000,2021-12-31,creative,Nielsen Ltd,EST,10
170000,2022-10-11,creative,Vera GmbH,CZE,95
131000,2023-01-01,manufacturing,Herrera Inc,CYM,5
49000,2026-04-01,infrastructure,Lytell SA,MAC,25
167000,2023-01-01,manufacturing,Tucker International,BOL,61
40000,2021-12-31,creative,Collins PLC,AIA,61
186000,2023-01-01,creative,Shea SA,ZWE,35
4000,2023-01-01,infrastructure,Matthews Inc,IMN,73
171000,2022-07-07,manufacturing,Holderby SA,FRA,82
78000,2022-07-07,infrastructure,Wesley SA,BEL,5
64000,2022-10-11,creative,Roehm SA,BRB,93
107000,2021-12-31,retail,Gray GmbH,SAU,55
154000,2022-10-11,creative,Menter International,LCA,20
155000,2022-07-07,finance,Holcomb GmbH,TUV,76
109000,2022-07-07,creative,Gallagher SA,WSM,57
12000,2021-12-31,retail,Mills PLC,RUS,91
0000,2022-07-07,finance,Pinckney PLC,ARG,6
182000,2023-01-01,manufacturing,Griffin SA,FRA,51
27000,2022-07-07,finance,Collins PLC,SAU,80
8000,2021-12-31,finance,Puleo PLC,PAK,89
69000,2022-07-07,creative,Franch Ltd,MRT,64
97000,2022-10-11,infrastructure,Haskell PLC,CUB,60
102000,2022-07-07,finance,Mojica SA,GRL,30
61000,2026-04-01,retail,Robb International,SEN,67
145000,2026-04-01,finance,Potts GmbH,AFG,6
60000,2021-12-31,retail,Rzepecki PLC,GGY,95
44000,2023-01-01,manufacturing,Keene Ltd,CPV,95
199000,2022-10-11,infrastructure,Mattison GmbH,DJI,23
171000,2022-07-07,retail,Mullins GmbH,BLR,18
7000,2022-07-07,retail,Simpkins GmbH,WLF,17
77000,2023-01-01,retail,Tate International,ROU,83
150000,2022-07-07,retail,Snyder PLC,SDN,43
84000,2022-07-07,manufacturing,Tallerico International,DOM,56
158000,2022-10-11,creative,Beamon PLC,BIH,57
137000,2023-01-01,finance,Hundley SA,GEO,66
180000,2022-07-07,infrastructure,Welch SA,GMB,24
109000,2022-10-11,infrastructure,Mccloskey International,YEM,39
156000,2021-12-31,manufacturing,Davis PLC,MTQ,31
5000,2021-12-31,manufacturing,Vanetta GmbH,PNG,34
188000,2023-01-01,manufacturing,Colindres PLC,PRI,78
126000,2022-07-07,manufacturing,Schad GmbH,ROU,67
110000,2023-01-01,infrastructure,Morad PLC,SXM,79
29000,2023-01-01,finance,Lima International,BGR,95
150000,2022-07-07,finance,Ryan SA,ABW,41
72000,2021-12-31,manufacturing,Remley GmbH,MYS,69
16000,2021-12-31,manufacturing,Kinde Ltd,SYR,45
92000,2023-01-01,retail,Ropers International,LCA,21
4000,2021-12-31,finance,Whitney GmbH,MNE,78
54000,2022-10-11,finance,Landry Ltd,NGA,2
148000,2022-07-07,retail,Hughes Ltd,MDG,40
173000,2021-12-31,finance,Pittenger PLC,KHM,41
80000,2021-12-31,manufacturing,Kersey Inc,RUS,17
77000,2022-10-11,creative,Girard GmbH,SJM,93
75000,2022-07-07,creative,Lorenzana Inc,ARE,87
58000,2022-07-07,finance,Blevins GmbH,GLP,51
9000,2021-12-31,manufacturing,Schaefer GmbH,ISL,26
31000,2021-12-31,finance,Wright International,CYM,83
31000,2026-04-01,creative,Ervin Ltd,FIN,6
19000,2021-12-31,retail,Mills SA,KGZ,84
140000,2021-12-31,retail,Malik Ltd,IRQ,77
79000,2026-04-01,infrastructure,Byram SA,ERI,97
72000,2023-01-01,retail,Banahan Ltd,COL,59
89000,2023-01-01,retail,Woods Inc,HND,89
32000,2022-10-11,manufacturing,Ward GmbH,BVT,65
165000,2023-01-01,retail,Day SA,IND,40
172000,2022-10-11,manufacturing,Scott GmbH,SHN,98
131000,2023-01-01,infrastructure,Plummer GmbH,ZMB,77
26000,2022-10-11,infrastructure,Becker International,DNK,98
27000,2022-10-11,manufacturing,Hinds Inc,KAZ,6
156000,2021-12-31,manufacturing,Bueno International,VNM,43
151000,2022-10-11,finance,Chiarelli PLC,SPM,47
14000,2023-01-01,infrastructure,Hall PLC,DNK,77
130000,2021-12-31,creative,Navarro International,BEL,45
45000,2023-01-01,manufacturing,Moon PLC,WLF,50
37000,2022-07-07,retail,Wen International,PAN,12
199000,2022-07-07,infrastructure,Carrara Ltd,ISL,72
56000,2023-01-01,retail,Rogers GmbH,BEL,48
108000,2021-12-31,creative,Johnson SA,PSE,15
143000,2022-07-07,retail,Cyree SA,GUY,51
119000,2022-07-07,creative,Sanford GmbH,IMN,51
21000,2023-01-01,retail,Kennedy SA,PCN,82
120000,2022-07-07,manufacturing,Stevens PLC,MUS,61
6000,2022-10-11,manufacturing,Pinto International,CYM,22
101000,2021-12-31,retail,Cody SA,LKA,12
74000,2022-07-07,infrastructure,Riis Ltd,GHA,43
72000,2022-10-11,infrastructure,Trout PLC,SSD,16
93000,2023-01-01,retail,Stallings PLC,AND,71
42000,2022-07-07,finance,Savage PLC,GEO,47
106000,2022-07-07,retail,Long GmbH,KIR,63
46000,2023-01-01,infrastructure,Kepler GmbH,ZMB,65
140000,2021-12-31,retail,Postell PLC,LUX,53
65000,2022-07-07,creative,Lytle PLC,TUR,6
119000,2023-01-01,retail,Garrett PLC,MUS,11
77000,2022-10-11,creative,Thigpen SA,COL,87
162000,2022-10-11,retail,Larson SA,CCK,85
97000,2026-04-01,finance,Sakamoto PLC,MRT,18
123000,2022-07-07,finance,Walker SA,CHE,91
70000,2022-10-11,retail,Barmore SA,VNM,83
5000,2022-10-11,infrastructure,Miller International,AFG,96
59000,2022-10-11,manufacturing,Fowler GmbH,AIA,66
169000,2022-07-07,retail,Mcirvin SA,LVA,64
97000,2021-12-31,creative,Young SA,SXM,55
50000,2026-04-01,creative,Dycus International,BFA,44
31000,2022-07-07,retail,Sylvester SA,USA,98
98000,2022-07-07,finance,Etheridge International,MCO,13
181000,2022-10-11,finance,Blumenthal SA,IOT,69
62000,2026-04-01,retail,Ogden PLC,MEX,57
88000,2026-04-01,infrastructure,Shannon GmbH,VIR,70
175000,2023-01-01,finance,Madsen International,CAN,86
67000,2023-01-01,retail,Moore SA,TGO,46
166000,2026-04-01,manufacturing,Creed GmbH,DJI,11
194000,2026-04-01,retail,Willingham Ltd,SMR,87
6000,2026-04-01,retail,Morison GmbH,SRB,71
16000,2022-07-07,finance,Caffey PLC,BWA,99
192000,2022-10-11,creative,Kramer GmbH,SYC,40
110000,2021-12-31,creative,Quinones Ltd,KEN,52
165000,2022-07-07,finance,Friel PLC,MNP,54
56000,2023-01-01,retail,Dunn SA,CHN,66
41000,2022-10-11,finance,Hernandez SA,VAT,7
173000,2021-12-31,finance,Richard SA,PRT,10
119000,2021-12-31,retail,Blevins International,MMR,43
92000,2022-07-07,manufacturing,Lane Inc,CZE,38
39000,2022-10-11,finance,Chadwick GmbH,PRY,59
37000,2026-04-01,creative,Schneider PLC,ATF,43
51000,2022-07-07,creative,Ballard Inc,BHS,74
46000,2021-12-31,finance,Jacobsen PLC,PRT,26
193000,2022-10-11,retail,Smith International,GGY,76
153000,2026-04-01,retail,Cower SA,UMI,56
144000,2023-01-01,retail,George GmbH,NCL,78
34000,2022-07-07,finance,Alleyne Inc,TGO,60
145000,2023-01-01,infrastructure,Starkweather SA,CZE,7
154000,2022-07-07,retail,Mathias SA,NLD,53
178000,2021-12-31,finance,James SA,CIV,42
125000,2023-01-01,infrastructure,Harrison SA,YEM,49
39000,2026-04-01,finance,Wood International,NPL,96
8000,2026-04-01,creative,Vaneck GmbH,BES,15
194000,2022-07-07,infrastructure,Williams PLC,USA,30
19000,2023-01-01,retail,Caldwell International,TUR,61
31000,2022-07-07,manufacturing,Rector International,MWI,88
2000,2022-10-11,creative,Levenstein Ltd,ZMB,87
108000,2022-07-07,manufacturing,Amundsen Ltd,GRC,53
17000,2022-07-07,creative,Hernandez International,MUS,96
91000,2026-04-01,creative,Sellers International,HTI,83
173000,2022-07-07,infrastructure,Hearn SA,GUF,20
109000,2026-04-01,creative,Maynard GmbH,AIA,93
45000,2022-07-07,retail,Brown International,FRA,72
31000,2026-04-01,finance,Nunez PLC,SXM,81
118000,2021-12-31,finance,Evans Inc,SEN,38
76000,2022-10-11,creative,Williams Inc,BEN,81
74000,2022-07-07,infrastructure,Adams PLC,BIH,91
64000,2021-12-31,creative,Brescia GmbH,ATF,33
111000,2022-10-11,creative,Barnes PLC,IDN,74
166000,2026-04-01,manufacturing,Santana International,ROU,83
193000,2023-01-01,creative,Landaverde Ltd,LVA,89
95000,2026-04-01,retail,Hernandez International,NER,53
91000,2022-10-11,creative,Moore Inc,LKA,20
115000,2023-01-01,manufacturing,Jinkens International,FJI,8
107000,2022-10-11,manufacturing,Polaco Inc,GIB,70
144000,2022-07-07,infrastructure,Miller GmbH,BEL,85
41000,2026-04-01,finance,Kirby Ltd,KGZ,46
190000,2022-10-11,finance,Nunley PLC,PAN,21
66000,2022-07-07,finance,Ziglar PLC,COL,29
123000,2022-10-11,creative,Cazares Ltd,GGY,56
64000,2021-12-31,infrastructure,Collins GmbH,GEO,8
1000,2022-10-11,manufacturing,Bernstein International,HMD,6
79000,2022-10-11,creative,Hernandez International,FJI,32
180000,2023-01-01,infrastructure,Gipe PLC,BOL,53
107000,2022-10-11,finance,Peterson GmbH,CYP,7
141000,2022-07-07,finance,Zurasky GmbH,POL,22
134000,2021-12-31,infrastructure,Stewart PLC,MLI,61
16000,2021-12-31,finance,Pettit PLC,PCN,27
178000,2023-01-01,creative,Dixon International,DEU,65
165000,2023-01-01,creative,Turner SA,NGA,79
198000,2022-07-07,manufacturing,Orozco International,CZE,14
86000,2021-12-31,finance,Peterson International,MUS,51
73000,2022-07-07,infrastructure,King SA,SEN,7
94000,2022-10-11,creative,Hadiaris Inc,COD,34
120000,2022-10-11,retail,Price SA,FRO,35
85000,2021-12-31,infrastructure,Thrasher GmbH,UKR,98
143000,2022-10-11,creative,Davis SA,GUY,100
163000,2022-10-11,creative,Piper GmbH,KGZ,43
49000,2021-12-31,retail,Rollins GmbH,GLP,94
17000,2022-07-07,manufacturing,Macpherson International,UGA,7
114000,2026-04-01,finance,Baldwin SA,PRY,64
24000,2023-01-01,infrastructure,Stoker SA,MHL,28
182000,2022-10-11,retail,Aylsworth Inc,SGP,80
151000,2022-07-07,infrastructure,Mascorro Ltd,CXR,91
3000,2022-07-07,manufacturing,Howard Inc,MTQ,32
66000,2022-07-07,infrastructure,Isbell Inc,ZMB,1
182000,2026-04-01,creative,Londner PLC,MUS,75
132000,2021-12-31,finance,Dyer GmbH,NCL,61
15000,2023-01-01,retail,Sweeney Inc,TCD,15
107000,2023-01-01,infrastructure,Trevino Inc,ARG,62
19000,2022-07-07,finance,Archer International,FRA,40
89000,2022-10-11,creative,Maryland Inc,CZE,52
15000,2022-10-11,manufacturing,Huerta International,CYM,78
186000,2022-10-11,manufacturing,Patterson International,BGR,36
25000,2026-04-01,infrastructure,Jordan PLC,PRT,57
80000,2026-04-01,infrastructure,Bennett GmbH,BEL,31
45000,2022-07-07,infrastructure,Royster Ltd,SRB,90
1000,2026-04-01,manufacturing,Charbonneau GmbH,MSR,12
178000,2023-01-01,finance,Benson Inc,MOZ,33
94000,2021-12-31,finance,Ball International,SLV,13
155000,2023-01-01,creative,Nadler PLC,GUM,99
18000,2021-12-31,creative,Carr Ltd,SUR,46
171000,2022-07-07,finance,Cox PLC,PSE,5
132000,2021-12-31,manufacturing,Montes Ltd,ARG,62
183000,2022-10-11,retail,Mojica Ltd,SJM,35
79000,2022-10-11,creative,Gonzalez Ltd,UZB,61
4000,2022-10-11,manufacturing,Blais PLC,MYT,64
131000,2026-04-01,manufacturing,Cross GmbH,BRA,67
8000,2022-10-11,retail,Green PLC,TJK,60
39000,2023-01-01,infrastructure,Taylor SA,NZL,83
163000,2026-04-01,retail,Madison International,IND,33
71000,2022-10-11,retail,Roberts Inc,LVA,57
80000,2022-07-07,finance,Hagan GmbH,FLK,48
87000,2022-10-11,creative,Weldon PLC,EST,20
170000,2022-07-07,infrastructure,Edwards Ltd,BIH,39
108000,2022-10-11,manufacturing,Payne GmbH,KEN,91
197000,2026-04-01,manufacturing,Ward PLC,BHS,4
175000,2023-01-01,finance,Lee International,HUN,58
153000,2021-12-31,infrastructure,Fisher International,TWN,64
186000,2022-07-07,infrastructure,Viviano GmbH,GLP,22
56000,2026-04-01,finance,Tuck GmbH,JAM,76
71000,2022-10-11,creative,Nowlin PLC,VUT,66
33000,2022-10-11,creative,Washington SA,WLF,54
186000,2022-07-07,infrastructure,Hawkins Ltd,VCT,66
63000,2022-10-11,infrastructure,Mendez PLC,YEM,60
25000,2026-04-01,retail,Cantrell Ltd,GRC,91
81000,2022-10-11,infrastructure,Donlon International,SLE,74
41000,2026-04-01,creative,Hall Ltd,GLP,36
35000,2026-04-01,manufacturing,Lewis PLC,TUV,25
16000,2023-01-01,manufacturing,Sagedahl Ltd,ITA,69
193000,2022-10-11,infrastructure,Carstens International,LIE,96
169000,2023-01-01,infrastructure,Dyer Inc,LIE,85
185000,2026-04-01,retail,Escobedo SA,SWE,21
108000,2021-12-31,creative,Kelton International,ATA,86
158000,2023-01-01,retail,Mayhugh GmbH,COL,24
63000,2022-10-11,creative,Cardiel Ltd,SDN,35
123000,2022-07-07,finance,Anders GmbH,BVT,28
111000,2022-10-11,infrastructure,Jasper International,LBR,94
194000,2023-01-01,retail,Clay GmbH,SLE,35
87000,2022-07-07,retail,Houchins PLC,CCK,57
79000,2023-01-01,infrastructure,Schaeffer International,ESH,30
176000,2022-07-07,creative,Burchfield Inc,SGS,64
0000,2022-10-11,finance,Duer Inc,NGA,42
142000,2023-01-01,retail,Arrington Inc,GRC,74
150000,2021-12-31,creative,Doran GmbH,ITA,40
37000,2023-01-01,manufacturing,Troendle GmbH,ASM,60
42000,2023-01-01,manufacturing,Romero Ltd,GIN,60
66000,2023-01-01,infrastructure,Ware GmbH,JOR,81
128000,2023-01-01,finance,Bermudez GmbH,SHN,78
11000,2022-10-11,infrastructure,Wilson Inc,ROU,41
21000,2021-12-31,infrastructure,Lanier Ltd,COK,12
65000,2022-07-07,creative,Wright GmbH,AUT,14
159000,2021-12-31,creative,Swenson Ltd,BMU,34
17000,2022-07-07,infrastructure,Ferebee Inc,VIR,43
25000,2023-01-01,manufacturing,Armentrout International,PSE,60
87000,2026-04-01,manufacturing,Bartlett Inc,MLT,23
173000,2023-01-01,infrastructure,Decinti GmbH,BIH,52
24000,2022-10-11,finance,Garner GmbH,GNB,30
109000,2022-10-11,finance,Foy International,BGR,23
165000,2023-01-01,manufacturing,Figueroa SA,MYT,20
66000,2026-04-01,creative,Alexander SA,GUM,16
6000,2022-07-07,creative,Burns International,ARM,72
39000,2022-07-07,manufacturing,Warren PLC,DMA,96
65000,2022-07-07,manufacturing,Myers Inc,ERI,47
24000,2021-12-31,finance,Farwell Ltd,AZE,93
150000,2026-04-01,creative,Taulbee Inc,OMN,58
35000,2022-07-07,retail,Ard Inc,ISL,2
103000,2023-01-01,creative,Morehead SA,MAR,93
168000,2022-07-07,retail,Boyd International,AUS,12
152000,2023-01-01,creative,Perfater Inc,PAN,96
197000,2023-01-01,creative,Still Inc,STP,96
180000,2023-01-01,creative,Mccann Ltd,HKG,17
187000,2023-01-01,finance,Denning PLC,PAK,12
96000,2022-07-07,manufacturing,Glass SA,SYC,55
77000,2026-04-01,retail,Dewispelaere Inc,BEN,25
74000,2023-01-01,manufacturing,Wilkison Ltd,CCK,55
73000,2023-01-01,creative,Bliss SA,NIC,57
189000,2023-01-01,creative,Dowd Ltd,SYC,36
26000,2021-12-31,retail,Hurdle PLC,BEN,20
83000,2022-07-07,manufacturing,Bumgarner Ltd,LVA,40
187000,2021-12-31,retail,Khan GmbH,MDG,38
107000,2023-01-01,manufacturing,Mullinix SA,REU,35
72000,2022-07-07,manufacturing,Jones Inc,BVT,44
15000,2022-07-07,infrastructure,Leon PLC,MNP,12
116000,2023-01-01,finance,Frazer PLC,BMU,48
68000,2022-07-07,finance,Ganley PLC,CYM,98
84000,2026-04-01,retail,Reed SA,SXM,72
177000,2026-04-01,manufacturing,Uutela PLC,CYM,11
126000,2022-10-11,retail,Talty GmbH,GGY,35
64000,2023-01-01,infrastructure,Schug International,NOR,23
3000,2021-12-31,creative,Coward International,GNB,14
125000,2022-07-07,manufacturing,Emery Ltd,QAT,10
74000,2021-12-31,finance,Crown PLC,CHL,38
133000,2021-12-31,retail,Williams Inc,MMR,25
